order_id,order_date,customer_id,region,category,channel,unit_price,quantity,revenue,order_month,order_year,order_quarter
ORD-11043,2023-01-01,CUST-1335,Asia Pacific,Electronics,Online,1033.72,1,1033.72,2023-01,2023,2023Q1
ORD-11108,2023-01-01,CUST-1005,Africa,Sports & Outdoors,Online,262.2,1,262.2,2023-01,2023,2023Q1
ORD-10698,2023-01-02,CUST-1171,Africa,Beauty & Personal Care,Retail Partner,70.46,1,70.46,2023-01,2023,2023Q1
ORD-10357,2023-01-02,CUST-1219,Africa,Home & Kitchen,Online,208.08,1,208.08,2023-01,2023,2023Q1
ORD-11466,2023-01-02,CUST-1324,North America,Apparel,Online,76.73,2,153.46,2023-01,2023,2023Q1
ORD-10771,2023-01-04,CUST-1184,Europe,Apparel,Retail Partner,81.48,1,81.48,2023-01,2023,2023Q1
ORD-10488,2023-01-04,CUST-1130,Asia Pacific,Home & Kitchen,Retail Partner,170.34,1,170.34,2023-01,2023,2023Q1
ORD-11257,2023-01-04,CUST-1103,Europe,Office Supplies,Online,7.53,2,15.06,2023-01,2023,2023Q1
ORD-10496,2023-01-04,CUST-1114,Asia Pacific,Electronics,Retail Partner,1166.69,1,1166.69,2023-01,2023,2023Q1
ORD-11048,2023-01-05,CUST-1294,Middle East,Home & Kitchen,Online,106.52,3,319.56,2023-01,2023,2023Q1
ORD-11680,2023-01-06,CUST-1023,Europe,Apparel,Retail Partner,79.58,1,79.58,2023-01,2023,2023Q1
ORD-10563,2023-01-06,CUST-1046,North America,Beauty & Personal Care,Online,37.43,1,37.43,2023-01,2023,2023Q1
ORD-11794,2023-01-06,CUST-1293,Asia Pacific,Apparel,Retail Partner,59.5,1,59.5,2023-01,2023,2023Q1
ORD-11261,2023-01-07,CUST-1307,Asia Pacific,Electronics,Marketplace,122.22,1,122.22,2023-01,2023,2023Q1
ORD-10696,2023-01-07,CUST-1077,Europe,Sports & Outdoors,Online,105.61,1,105.61,2023-01,2023,2023Q1
ORD-10573,2023-01-07,CUST-1155,Asia Pacific,Office Supplies,Online,54.18,1,54.18,2023-01,2023,2023Q1
ORD-10289,2023-01-07,CUST-1179,North America,Sports & Outdoors,Online,74.49,1,74.49,2023-01,2023,2023Q1
ORD-11770,2023-01-07,CUST-1393,Europe,Home & Kitchen,Retail Partner,227.15,3,681.45,2023-01,2023,2023Q1
ORD-11026,2023-01-08,CUST-1380,Asia Pacific,Beauty & Personal Care,Online,67.71,1,67.71,2023-01,2023,2023Q1
ORD-10299,2023-01-08,CUST-1061,North America,Electronics,Retail Partner,160.73,1,160.73,2023-01,2023,2023Q1
ORD-11379,2023-01-09,CUST-1344,Europe,Beauty & Personal Care,Online,36.68,1,36.68,2023-01,2023,2023Q1
ORD-10613,2023-01-10,CUST-1487,Asia Pacific,Home & Kitchen,Retail Partner,44.49,2,88.98,2023-01,2023,2023Q1
ORD-11110,2023-01-10,CUST-1153,Europe,Home & Kitchen,Online,190.42,2,380.84,2023-01,2023,2023Q1
ORD-11134,2023-01-10,CUST-1124,Europe,Sports & Outdoors,Retail Partner,139.37,1,139.37,2023-01,2023,2023Q1
ORD-11183,2023-01-12,CUST-1475,North America,Sports & Outdoors,Online,76.39,3,229.17,2023-01,2023,2023Q1
ORD-10717,2023-01-13,CUST-1062,Asia Pacific,Apparel,Marketplace,21.23,1,21.23,2023-01,2023,2023Q1
ORD-10686,2023-01-13,CUST-1022,Asia Pacific,Home & Kitchen,Online,182.96,1,182.96,2023-01,2023,2023Q1
ORD-10790,2023-01-13,CUST-1234,Africa,Electronics,Online,1193.65,1,1193.65,2023-01,2023,2023Q1
ORD-10536,2023-01-13,CUST-1210,North America,Electronics,Retail Partner,900.29,1,900.29,2023-01,2023,2023Q1
ORD-11730,2023-01-14,CUST-1059,Asia Pacific,Beauty & Personal Care,Online,69.66,2,139.32,2023-01,2023,2023Q1
ORD-11539,2023-01-14,CUST-1073,Africa,Home & Kitchen,Online,38.62,1,38.62,2023-01,2023,2023Q1
ORD-11363,2023-01-15,CUST-1131,North America,Electronics,Online,251.3,1,251.3,2023-01,2023,2023Q1
ORD-10164,2023-01-15,CUST-1154,Africa,Apparel,Retail Partner,70.88,1,70.88,2023-01,2023,2023Q1
ORD-10265,2023-01-16,CUST-1067,Africa,Office Supplies,Online,13.1,2,26.2,2023-01,2023,2023Q1
ORD-11232,2023-01-16,CUST-1496,Asia Pacific,Apparel,Online,18.63,1,18.63,2023-01,2023,2023Q1
ORD-11122,2023-01-16,CUST-1077,Asia Pacific,Home & Kitchen,Online,147.34,3,442.02,2023-01,2023,2023Q1
ORD-10362,2023-01-17,CUST-1129,North America,Sports & Outdoors,Online,254.37,1,254.37,2023-01,2023,2023Q1
ORD-10500,2023-01-17,CUST-1314,Africa,Sports & Outdoors,Online,194.96,1,194.96,2023-01,2023,2023Q1
ORD-11410,2023-01-17,CUST-1230,Middle East,Sports & Outdoors,Online,244.99,4,979.96,2023-01,2023,2023Q1
ORD-10156,2023-01-18,CUST-1405,North America,Sports & Outdoors,Online,181.42,1,181.42,2023-01,2023,2023Q1
ORD-11545,2023-01-18,CUST-1067,North America,Apparel,Retail Partner,63.35,2,126.7,2023-01,2023,2023Q1
ORD-11729,2023-01-19,CUST-1273,Middle East,Apparel,Online,81.83,2,163.66,2023-01,2023,2023Q1
ORD-11840,2023-01-20,CUST-1467,Europe,Beauty & Personal Care,Marketplace,58.43,1,58.43,2023-01,2023,2023Q1
ORD-10982,2023-01-20,CUST-1038,Europe,Electronics,Online,355.32,2,710.64,2023-01,2023,2023Q1
ORD-11009,2023-01-20,CUST-1326,Asia Pacific,Apparel,Online,78.64,2,157.28,2023-01,2023,2023Q1
ORD-11615,2023-01-20,CUST-1451,Middle East,Home & Kitchen,Online,213.94,1,213.94,2023-01,2023,2023Q1
ORD-10187,2023-01-22,CUST-1300,Asia Pacific,Sports & Outdoors,Retail Partner,174.24,1,174.24,2023-01,2023,2023Q1
ORD-10259,2023-01-22,CUST-1497,North America,Electronics,Retail Partner,540.35,2,1080.7,2023-01,2023,2023Q1
ORD-11120,2023-01-23,CUST-1273,Asia Pacific,Electronics,Marketplace,558.99,1,558.99,2023-01,2023,2023Q1
ORD-11508,2023-01-24,CUST-1100,Middle East,Apparel,Marketplace,86.6,1,86.6,2023-01,2023,2023Q1
ORD-11095,2023-01-24,CUST-1437,Europe,Electronics,Online,1067.01,1,1067.01,2023-01,2023,2023Q1
ORD-10955,2023-01-25,CUST-1078,Asia Pacific,Home & Kitchen,Retail Partner,141.26,1,141.26,2023-01,2023,2023Q1
ORD-11407,2023-01-26,CUST-1098,Africa,Home & Kitchen,Online,133.24,1,133.24,2023-01,2023,2023Q1
ORD-10732,2023-01-27,CUST-1092,Africa,Electronics,Marketplace,1023.23,1,1023.23,2023-01,2023,2023Q1
