order_id,order_date,customer_id,region,category,channel,unit_price,quantity
ORD-11226,2023-07-12,CUST-1398,Middle East,Office Supplies,Online,87.91,2
ORD-10848,2023-02-16,CUST-1033,,Electronics,Online,139.07,2
ORD-11199,09-27-2024,CUST-1485,Asia Pacific,Apparel,Online,117.26,3
ORD-10037,2023-06-19,CUST-1281,North America,Home & Kitchen,Online,72.34,3
ORD-10002,2024-07-12,CUST-1456,APAC,Electronics,Online,285.41,1
ORD-10353,2024-03-09,CUST-1270,North America,Sports & Outdoors,Marketplace,161.46,3
ORD-10324,2023-10-17,CUST-1469,Asia Pacific,Apparel,Online,30.64,1
ORD-10572,2024-05-22,CUST-1320,Asia Pacific,Home & Kitchen,Retail Partner,106.47,1
ORD-10630,2023-03-02,CUST-1210,Europe,Home & Kitchen,Online,209.24,2
ORD-11084,2023-12-09,CUST-1230,North America,Sports & Outdoors,Retail Partner,,4
ORD-11693,2024-07-28,CUST-1363,Asia Pacific,Sports & Outdoors,Retail Partner,192.51,1
ORD-11755,2023-03-30,CUST-1383,Asia Pacific,Beauty & Personal Care,Marketplace,9.06,1
ORD-11733,2024-11-22,CUST-1353,Europe,Apparel,Online,49.02,1
ORD-10757,2023-12-10,CUST-1373,N. America,Home & Kitchen,Online,205.79,1
ORD-11198,2023-03-29,CUST-1436,,Apparel,Retail Partner,78.1,1
ORD-11709,2023-11-02,CUST-1061,Asia Pacific,Electronics,Retail Partner,641.56,2
ORD-10204,2023-05-29,CUST-1282,Europe,Apparel,Online,48.39,4
ORD-10788,11-24-2023,CUST-1132,Asia Pacific,Electronics,Online,155.72,2
ORD-11173,2023-11-06,CUST-1069,Europe,Beauty & Personal Care,Retail Partner,34.61,2
ORD-10488,2023-01-04,CUST-1130,APAC,Home & Kitchen,Retail Partner,170.34,1
ORD-10975,03/12/2023,CUST-1230,North America,Office Supplies,Marketplace,86.79,1
ORD-10672,28/07/2023,CUST-1471,North America,Office Supplies,Online,98.88,3
ORD-11575,2024-09-01,CUST-1102,Europe,Apparel,Online,36.45,2
ORD-11759,02-02-2023,CUST-1257,Asia Pacific,Apparel,Online,130.16,1
ORD-10447,2023-11-02,CUST-1285,North America,Home & Kitchen,Online,19.54,3
ORD-11667,2024-09-24,CUST-1205,North America,Apparel,Online,131.2,1
ORD-10108,20/04/2023,CUST-1457,Asia Pacific,Apparel,Online,85.19,1
ORD-10127,08/02/2024,CUST-1464,North America,Beauty & Personal Care,Online,47.74,2
